gene	monte_carlo_iterations	top10_probability	top20_probability	top30_probability	median_rank	rank_p2_5	rank_p97_5
VWF	5000	0.8954	0.9802	0.9934	3.0	1.0	19.0
COL5A1	5000	0.8888	0.9668	0.9848	3.0	1.0	25.0
VCAN	5000	0.5654	0.8612	0.9476	9.0	3.0	39.0
ALOX5AP	5000	0.6196	0.843	0.9164	8.0	2.0	50.0
CTSB	5000	0.6554	0.812	0.8866	6.0	1.0	67.0
FN1	5000	0.6322	0.7592	0.8292	5.0	1.0	122.02499999999964
SULF1	5000	0.0886	0.5882	0.8082	18.0	9.0	68.0
CCDC102B	5000	0.315	0.616	0.7954	16.0	4.0	64.0
SPARC	5000	0.4568	0.6318	0.7398	13.0	2.0	102.0
CFH	5000	0.4862	0.632	0.7146	11.0	1.0	123.0
TYROBP	5000	0.3298	0.5258	0.6414	19.0	2.0	184.0
THY1	5000	0.3436	0.531	0.6362	18.0	2.0	197.0
COL1A2	5000	0.3174	0.5222	0.6336	19.0	3.0	128.02499999999964
ST6GALNAC3	5000	0.2294	0.4826	0.626	21.0	7.0	111.0
COL11A1	5000	0.1186	0.389	0.555	27.0	8.0	133.0
SEMA5A	5000	0.045	0.3238	0.5406	28.0	10.0	148.0
MSR1	5000	0.0006	0.2734	0.539	29.0	12.0	117.0
HERPUD1	5000	0.1154	0.3892	0.5384	28.0	7.0	114.0
CDH6	5000	0.216	0.3636	0.4716	34.0	2.0	172.0
GPNMB	5000	0.1376	0.345	0.469	34.0	6.0	199.0
TAGLN	5000	0.2298	0.3774	0.467	35.0	2.0	291.0
DLC1	5000	0.176	0.3416	0.4608	34.0	4.0	198.0
ADGRL4	5000	0.0752	0.2774	0.4552	34.0	7.0	179.0
CDH2	5000	0.1936	0.3258	0.4268	41.0	3.0	239.02499999999964
C1QC	5000	0.1266	0.2924	0.4146	40.0	5.0	270.0
FRMD4A	5000	0.1554	0.2906	0.395	43.0	4.0	193.0
LCP1	5000	0.105	0.2664	0.3858	46.0	7.0	250.02499999999964
STAB1	5000	0.0	0.1922	0.367	41.0	14.0	166.0
DOCK4	5000	0.029	0.2088	0.3586	43.0	10.0	138.02499999999964
TCF4	5000	0.0646	0.2342	0.3506	48.0	6.0	163.02499999999964
COL8A1	5000	0.0628	0.216	0.345	46.0	8.0	182.0
PALLD	5000	0.1052	0.2304	0.34	50.0	6.0	209.0
NAMPT	5000	0.0	0.0382	0.3294	36.0	20.0	90.0
STK17B	5000	0.0982	0.2286	0.3206	59.0	4.0	272.0
IGFBP7	5000	0.0724	0.2094	0.308	57.5	7.0	226.0
COL4A1	5000	0.1252	0.2214	0.3076	62.0	4.0	242.0
C1QA	5000	0.057	0.2088	0.3052	58.0	8.0	313.0
APOE	5000	0.0956	0.1988	0.2962	61.0	5.0	241.0
NPL	5000	0.0202	0.1768	0.2914	62.0	11.0	296.0
MCAM	5000	0.0168	0.1554	0.2894	53.0	11.0	274.0
UACA	5000	0.0	0.1278	0.2778	52.0	15.0	184.0
VIM	5000	0.129	0.215	0.2774	71.0	3.0	274.0
COL3A1	5000	0.0766	0.1814	0.2748	71.0	7.0	270.0
NDUFA4L2	5000	0.0616	0.1724	0.273	61.0	7.0	265.0
COL6A2	5000	0.0848	0.1866	0.259	76.0	6.0	273.0
SPP1	5000	0.0	0.0446	0.2492	46.0	20.0	129.0
ITGA2	5000	0.0476	0.147	0.2388	78.0	9.0	348.0
RAPGEF5	5000	0.0246	0.1446	0.2334	68.0	11.0	254.0
PRKG1	5000	0.0266	0.1168	0.217	60.0	10.0	203.0
NOTCH3	5000	0.0002	0.072	0.2098	57.0	17.0	244.0
EBF1	5000	0.0	0.097	0.2046	62.5	15.0	208.02499999999964
COL18A1	5000	0.0	0.0076	0.1916	49.0	22.0	145.0
PTPRC	5000	0.0028	0.0836	0.1898	66.0	15.0	171.0
SRGN	5000	0.0422	0.1166	0.1848	89.0	8.0	279.0
C1QB	5000	0.0266	0.1106	0.1776	86.5	10.0	273.0
CTSD	5000	0.0	0.0634	0.175	68.0	17.0	226.0
ARHGAP15	5000	0.0138	0.0926	0.1714	86.0	12.0	272.0
CSF1R	5000	0.0112	0.1012	0.1674	93.0	13.0	290.0
COL1A1	5000	0.04	0.1018	0.1602	123.0	8.0	319.0
NNMT	5000	0.002	0.0724	0.1582	80.0	15.0	234.0
MGP	5000	0.0332	0.0966	0.1564	100.0	8.975000000000009	288.0
PREX2	5000	0.0	0.0468	0.1558	75.0	19.0	273.0
C5AR1	5000	0.0046	0.0734	0.1558	96.0	14.0	333.02499999999964
COL4A2	5000	0.024	0.0828	0.1466	101.0	11.0	289.02499999999964
CD74	5000	0.0	0.0354	0.1414	84.0	19.0	268.02499999999964
PIEZO2	5000	0.005	0.0588	0.134	92.0	15.0	235.0
PLXDC1	5000	0.0002	0.0478	0.1318	81.0	17.0	232.0
TM4SF18	5000	0.0	0.0308	0.1294	69.0	20.0	198.02499999999964
CDH11	5000	0.0	0.0278	0.1208	82.5	20.0	198.0
FGL2	5000	0.0	0.036	0.117	80.0	19.0	317.0
FTH1	5000	0.0	0.0212	0.1114	77.0	21.0	232.0
BGN	5000	0.0142	0.0524	0.1066	151.5	13.0	340.0
SGK1	5000	0.0	0.0068	0.1054	72.0	24.0	218.0
IFI27	5000	0.0	0.002	0.1046	51.0	25.0	166.02499999999964
ITGBL1	5000	0.0	0.0322	0.0968	104.0	20.0	283.0
PDE4D	5000	0.003	0.0324	0.0968	115.0	19.0	280.0
MS4A6A	5000	0.0012	0.0258	0.088	113.0	20.0	297.0
GRN	5000	0.0184	0.0508	0.084	170.5	13.0	391.0
PSAP	5000	0.0	0.0	0.083	73.0	27.0	198.0
LYZ	5000	0.0018	0.03	0.0804	103.5	19.97500000000001	328.02499999999964
ZBTB20	5000	0.0078	0.0386	0.079	167.0	17.97500000000001	367.0
CTHRC1	5000	0.0008	0.0276	0.0788	99.0	20.0	293.0
COL6A3	5000	0.0066	0.0332	0.0706	144.0	17.0	319.0
CCDC80	5000	0.0	0.012	0.0674	100.0	24.0	242.0
ELL2	5000	0.0	0.0148	0.0672	111.0	23.0	283.0
HSPG2	5000	0.0	0.0172	0.067	95.0	22.0	189.0
FLT1	5000	0.0	0.0178	0.0648	116.0	23.0	225.0
FKBP5	5000	0.0052	0.023	0.0588	148.0	21.0	307.0
PTPRG	5000	0.0046	0.0284	0.057	177.0	20.0	347.0
C5	5000	0.0	0.0216	0.0558	182.0	21.0	385.0
CLEC14A	5000	0.0006	0.0168	0.055	141.0	23.0	330.0
SKAP1	5000	0.0048	0.026	0.0542	167.0	20.0	324.0
CELF2	5000	0.0012	0.0184	0.0536	161.5	23.0	346.0
MAML2	5000	0.0	0.0178	0.0534	138.0	23.0	312.0
POSTN	5000	0.004	0.0232	0.0506	186.0	21.0	360.0
EBF2	5000	0.0	0.0	0.0484	64.0	28.0	195.0
PABPC1	5000	0.0	0.0	0.0452	70.0	29.0	181.0
CALD1	5000	0.0012	0.015	0.0452	157.0	25.0	321.0
NR2F2	5000	0.0	0.0136	0.0426	149.0	24.0	268.0
NPC2	5000	0.0	0.0006	0.042	83.0	28.0	170.02499999999964
CTSS	5000	0.0	0.0	0.0416	66.0	29.0	227.02499999999964
ZNF331	5000	0.0	0.005	0.0406	109.0	27.0	287.0
PCDH17	5000	0.0	0.0016	0.039	100.0	27.0	206.0
FAM49A	5000	0.0	0.0	0.0354	112.0	29.0	229.0
TREM2	5000	0.0	0.0	0.0318	69.0	29.0	227.02499999999964
INSR	5000	0.0	0.0	0.0318	121.0	29.0	285.0
CACNA1C	5000	0.0	0.0	0.0314	92.0	30.0	195.0
RBM38	5000	0.0	0.0004	0.0264	111.0	30.0	249.0
GPX1	5000	0.0	0.0072	0.0248	189.0	31.0	382.0
HLA-DRA	5000	0.0008	0.0074	0.0244	232.0	31.0	404.0
LSP1	5000	0.0006	0.0078	0.024	197.0	31.0	314.0
NRG3	5000	0.0	0.0	0.0226	149.0	31.97500000000001	374.0
APOC1	5000	0.0	0.0066	0.0224	175.0	31.0	339.0
PECAM1	5000	0.0004	0.0052	0.0222	222.0	32.0	381.0
SPOCK1	5000	0.0	0.0	0.02	87.0	31.0	164.0
LIPA	5000	0.0	0.0016	0.02	167.0	33.0	317.0
PTPRM	5000	0.0	0.0	0.0194	102.0	32.0	252.0
SAMD3	5000	0.0	0.0	0.0188	86.0	31.0	204.0
AKAP12	5000	0.0	0.0	0.0188	164.0	34.0	367.0
CD247	5000	0.0	0.0	0.0186	103.0	32.0	269.0
HLA-DPB1	5000	0.0	0.003	0.0174	233.0	33.0	404.0
RGS1	5000	0.0002	0.0046	0.014	192.0	40.0	362.0
LUM	5000	0.0	0.0	0.0138	91.0	32.0	176.0
ANXA2	5000	0.0	0.0022	0.0136	224.5	38.0	379.0
PDGFRB	5000	0.0	0.0014	0.0126	208.0	41.0	350.0
COL5A2	5000	0.0	0.0	0.0124	105.0	32.0	269.0
EEF1A1	5000	0.0	0.002	0.0102	240.0	41.0	379.0
GRB10	5000	0.0	0.0018	0.01	251.0	41.0	385.0
C1orf162	5000	0.0	0.0002	0.0092	173.0	39.0	346.0
AEBP1	5000	0.0	0.0006	0.009	189.0	37.0	347.0
RIPOR2	5000	0.0004	0.0024	0.0068	290.0	55.0	408.0
PPARD	5000	0.0002	0.0016	0.0066	281.0	55.0	383.0
RBM47	5000	0.0	0.0	0.005	88.0	34.0	192.0
HLA-DPA1	5000	0.0	0.0	0.0048	243.0	42.0	406.0
EPS8	5000	0.0	0.0	0.0046	137.0	39.0	303.0
MAP1B	5000	0.0	0.0	0.0046	252.0	48.0	394.0
COTL1	5000	0.0	0.0	0.0042	221.0	48.0	362.0
ESAM	5000	0.0	0.0	0.0036	139.0	36.0	260.0
AIF1	5000	0.0	0.0002	0.0036	274.0	56.97500000000001	411.0
MS4A7	5000	0.0	0.0	0.0034	233.0	54.0	361.0
RGS5	5000	0.0	0.0	0.003	127.0	39.0	213.0
BMP2K	5000	0.0	0.0	0.0026	192.0	44.0	358.0
GAPDH	5000	0.0	0.0	0.0026	202.0	43.0	374.0
C11orf96	5000	0.0	0.0	0.0026	262.0	53.0	389.0
DPYSL3	5000	0.0	0.0	0.0022	190.0	43.0	324.0
LUZP2	5000	0.0	0.0	0.0014	111.0	40.0	317.0
NFIB	5000	0.0	0.0	0.0012	243.0	55.0	355.0
HLA-DMA	5000	0.0	0.0	0.0012	302.0	70.97500000000001	416.0
TPM2	5000	0.0	0.0	0.001	181.0	49.0	311.0
HLA-DMB	5000	0.0	0.0	0.001	249.0	47.0	408.0
LTBP1	5000	0.0	0.0	0.0008	73.0	34.0	168.02499999999964
CEBPD	5000	0.0	0.0	0.0008	301.0	65.0	406.0
F13B	5000	0.0	0.0002	0.0008	360.0	86.0	416.0
THBS2	5000	0.0	0.0	0.0004	158.0	48.0	293.0
SH3BGRL3	5000	0.0	0.0	0.0002	218.0	53.0	382.0
FTL	5000	0.0	0.0	0.0002	260.0	60.0	392.0
APOB	5000	0.0	0.0	0.0002	359.0	98.0	415.0
MNDA	5000	0.0	0.0	0.0	69.0	42.0	131.0
MMP9	5000	0.0	0.0	0.0	86.0	46.0	205.0
MS4A4A	5000	0.0	0.0	0.0	88.0	45.0	183.0
PLCB1	5000	0.0	0.0	0.0	88.0	68.0	144.0
MIR100HG	5000	0.0	0.0	0.0	92.0	50.0	222.0
UBASH3B	5000	0.0	0.0	0.0	103.0	64.0	192.0
RNF144B	5000	0.0	0.0	0.0	105.0	66.0	193.02499999999964
ECSCR	5000	0.0	0.0	0.0	109.0	70.0	176.0
LDB2	5000	0.0	0.0	0.0	112.0	91.0	155.0
AKAP13	5000	0.0	0.0	0.0	114.0	44.0	269.02499999999964
FCER1G	5000	0.0	0.0	0.0	120.0	43.0	311.0
NRCAM	5000	0.0	0.0	0.0	123.0	44.0	320.0
PODXL	5000	0.0	0.0	0.0	129.0	74.0	236.0
GLUL	5000	0.0	0.0	0.0	132.0	49.0	323.0
CD3G	5000	0.0	0.0	0.0	135.0	50.0	290.0
DCN	5000	0.0	0.0	0.0	138.0	55.0	245.0
TRIM58	5000	0.0	0.0	0.0	141.0	43.0	356.0
DOCK9	5000	0.0	0.0	0.0	141.0	48.0	355.0
LAPTM5	5000	0.0	0.0	0.0	142.0	47.0	295.02499999999964
CD3D	5000	0.0	0.0	0.0	142.0	55.0	294.0
PLXDC2	5000	0.0	0.0	0.0	143.0	41.0	347.0
COL6A1	5000	0.0	0.0	0.0	144.0	75.0	252.0
ITGB2	5000	0.0	0.0	0.0	146.0	57.0	296.0
PTPRK	5000	0.0	0.0	0.0	147.0	49.0	225.0
WWTR1	5000	0.0	0.0	0.0	147.0	83.0	214.0
EDIL3	5000	0.0	0.0	0.0	148.0	45.97500000000001	224.02499999999964
TM4SF1	5000	0.0	0.0	0.0	150.0	93.0	223.0
SLC16A10	5000	0.0	0.0	0.0	152.0	122.0	210.0
PLEKHG1	5000	0.0	0.0	0.0	152.0	117.0	210.0
SYTL3	5000	0.0	0.0	0.0	160.0	97.0	224.0
PFKFB3	5000	0.0	0.0	0.0	162.0	50.0	295.02499999999964
FRZB	5000	0.0	0.0	0.0	162.0	91.0	271.0
DCBLD2	5000	0.0	0.0	0.0	166.0	86.0	269.0
COL14A1	5000	0.0	0.0	0.0	168.0	49.0	314.0
ACTA2	5000	0.0	0.0	0.0	168.0	101.0	274.0
PTPRB	5000	0.0	0.0	0.0	169.0	106.0	248.0
ANO2	5000	0.0	0.0	0.0	169.0	60.0	374.0
S100A8	5000	0.0	0.0	0.0	170.0	98.0	261.0
LGMN	5000	0.0	0.0	0.0	171.0	71.0	308.0
HAMP	5000	0.0	0.0	0.0	171.0	64.0	345.02499999999964
CD163	5000	0.0	0.0	0.0	172.0	54.0	321.0
CLDN5	5000	0.0	0.0	0.0	173.0	125.0	262.0
SERPINH1	5000	0.0	0.0	0.0	174.0	78.0	304.0
CPE	5000	0.0	0.0	0.0	174.0	55.0	384.0
CD2	5000	0.0	0.0	0.0	176.0	85.0	304.0
MECOM	5000	0.0	0.0	0.0	176.0	88.0	304.0
ENPEP	5000	0.0	0.0	0.0	178.0	72.0	310.0
